name,id,course,year,mail
aaa1,9990001,1,1,wang1@gmail.com
aaa2,9990002,1,2,wang2@gmail.com
aaa3,9990003,2,1,wang3@gmail.com
aaa4,9990004,2,2,wang4@gmail.com
aaa5,9990005,3,2,wang5@gmail.com
aaa6,9990006,3,3,wang6@gmail.com
aaa7,9990007,4,2,wang7@gmail.com
aaa8,9990008,4,4,wang8@gmail.com
aaa9,9990009,5,1,wang9@gmail.com
aaa10,9990010,5,2,wang10@gmail.com
aaa11,9990011,6,1,wang11@gmail.com
aaa12,9990012,6,2,wang12@gmail.com
aaa13,9990013,7,1,wang13@gmail.com
aaa14,9990014,7,2,wang14@gmail.com
aaa15,9990015,8,1,wang15@gmail.com
aaa16,9990016,8,2,wang16@gmail.com
aaa17,9990017,9,1,wang17@gmail.com
aaa18,9990018,9,2,wang18@gmail.com
aaa19,9990019,10,2,wang19@gmail.com
aaa20,9990020,10,3,wang20@gmail.com
